wavenumber,intensity
826.3,1874.4300
827.5,1887.3500
828.7,1883.9100
829.9,1888.1100
831.1,1984.9800
832.2,2124.8700
833.4,2674.4300
834.6,3437.2800
835.8,4001.5700
837.0,4112.0500
838.1,3628.5900
839.3,2937.9900
840.5,2296.6800
841.7,1840.0700
842.8,1526.7100
844.0,1386.4100
845.2,1354.9100
846.4,1394.0900
847.5,1606.6100
848.7,1846.7600
849.9,2221.5400
851.1,2849.7900
852.2,3750.3700
853.4,5059.3800
854.6,7009.4200
855.8,9859.5200
856.9,13897.2400
858.1,18370.0700
859.3,21603.5600
860.5,21924.0400
861.6,19619.4200
862.8,15864.1500
864.0,12290.7800
865.1,9183.6700
866.3,6761.3800
867.5,4911.9600
868.6,3544.1100
869.8,2581.7400
871.0,1906.1000
872.2,1417.9800
873.3,1073.9700
874.5,821.5300
875.7,636.2600
876.8,485.1300
878.0,411.3900
879.2,300.3700
880.3,191.0200
881.5,155.7500
882.7,135.6300
883.8,86.8800
885.0,36.0100
886.2,63.7300
887.3,12.0500
888.5,0.0000
889.7,4.2700
890.8,0.0000
892.0,0.0000
893.2,3.9800
894.3,0.0000
895.5,0.0000
896.7,0.0000
897.8,0.0000
899.0,0.1900
900.1,0.0000
901.3,4.5600
902.5,0.0000
903.6,13.8100
904.8,27.0500
906.0,22.5000
907.1,37.3500
908.3,19.3400
909.4,22.8900
910.6,16.2000
911.8,63.3700
912.9,78.2300
914.1,68.8600
915.2,84.2500
916.4,95.8800
917.6,68.2200
918.7,68.5600
919.9,29.6200
921.0,36.9600
922.2,0.0000
923.4,10.1000
924.5,13.5600
925.7,0.0000
926.8,0.0000
928.0,36.9000
929.1,52.7500
930.3,54.6200
931.4,76.3800
932.6,43.3200
933.8,39.2900
934.9,17.5400
936.1,17.2800
937.2,0.0000
938.4,1.2500
939.5,0.0000
940.7,0.0000
941.8,0.0000
943.0,27.1300
944.1,19.9000
945.3,44.3600
946.4,69.3500
947.6,142.6500
948.7,277.6800
949.9,376.7200
951.0,410.2800
952.2,357.4400
953.3,297.6300
954.5,205.1000
955.6,158.1900
956.8,108.0700
957.9,111.0700
959.1,94.2300
960.2,176.6300
961.4,224.1600
962.5,345.7000
963.7,451.6800
964.8,667.5900
966.0,1068.5000
967.1,1648.4800
968.3,2375.8600
969.4,3208.8200
970.5,3762.3500
971.7,3740.5700
972.8,3226.6300
974.0,2566.9200
975.1,1902.4500
976.3,1413.8600
977.4,996.0800
978.6,693.0300
979.7,495.6000
980.9,351.2500
982.0,297.4900
983.1,244.8100
984.3,183.0300
985.4,167.8800
986.6,149.5100
987.7,136.5100
988.8,132.6200
990.0,128.2000
991.1,205.7800
992.3,149.3800
993.4,146.0400
994.5,166.2800
995.7,240.6500
996.8,218.5600
998.0,263.4600
999.1,287.4600
1000.2,264.8500
1001.4,327.4300
1002.5,361.6300
1003.6,417.2500
1004.8,461.1000
1005.9,540.8400
1007.0,673.1100
1008.2,688.5600
1009.3,805.3000
1010.5,879.7000
1011.6,905.8900
1012.7,933.6900
1013.9,983.4600
1015.0,1120.0600
1016.1,1270.0500
1017.3,1357.3600
1018.4,1465.5800
1019.5,1472.5100
1020.7,1424.7900
1021.8,1276.3200
1022.9,1132.6700
1024.1,988.4800
