wavenumber,intensity
831.1,186.3100
832.2,150.1800
833.4,154.3900
834.6,153.1500
835.8,137.2100
837.0,103.8500
838.1,79.2100
839.3,68.7400
840.5,50.6500
841.7,46.0000
842.8,23.4100
844.0,20.0100
845.2,1.8900
846.4,2.3600
847.5,5.1400
848.7,0.0000
849.9,3.3300
851.1,0.0000
852.2,3.5600
853.4,0.0000
854.6,0.0000
855.8,1.4200
856.9,5.5600
858.1,0.0000
859.3,5.4500
860.5,15.3000
861.6,34.9100
862.8,18.7300
864.0,39.4200
865.1,35.7100
866.3,65.0500
867.5,55.9300
868.6,64.6900
869.8,92.3900
871.0,95.1800
872.2,80.6600
873.3,88.8700
874.5,100.8600
875.7,114.4800
876.8,107.5400
878.0,84.9200
879.2,102.3200
880.3,118.0900
881.5,118.7300
882.7,111.2600
883.8,123.7900
885.0,151.4400
886.2,156.9400
887.3,163.5200
888.5,178.7300
889.7,204.7500
890.8,212.9400
892.0,248.6600
893.2,261.1600
894.3,300.6400
895.5,294.7900
896.7,321.8500
897.8,359.1500
899.0,364.6300
900.1,407.8500
901.3,428.9500
902.5,437.1200
903.6,429.6500
904.8,456.6800
906.0,440.0600
907.1,443.9100
908.3,428.3800
909.4,420.3900
910.6,404.3300
911.8,375.3400
912.9,368.4500
914.1,340.5600
915.2,326.1300
916.4,293.4100
917.6,282.2300
918.7,245.7600
919.9,242.1200
921.0,216.4200
922.2,210.6400
923.4,194.1000
924.5,164.6600
925.7,174.4800
926.8,154.7200
928.0,160.2400
929.1,144.2600
930.3,121.8300
931.4,106.9400
932.6,95.8000
933.8,83.6000
934.9,75.7000
936.1,74.2500
937.2,72.2600
938.4,54.6900
939.5,48.9500
940.7,40.5200
941.8,33.1700
943.0,27.4300
944.1,27.0700
945.3,26.7000
946.4,25.8000
947.6,22.2200
948.7,18.0900
949.9,17.7300
951.0,14.6900
952.2,16.4800
953.3,16.6500
954.5,7.1700
955.6,0.0000
956.8,7.1600
957.9,1.6000
959.1,0.0000
960.2,0.0000
961.4,5.8600
962.5,0.0000
963.7,0.0000
964.8,0.0000
966.0,1.2700
967.1,0.0000
968.3,0.0000
969.4,3.9700
970.5,0.0000
971.7,4.9800
972.8,0.0000
974.0,3.0300
975.1,15.0400
976.3,15.2600
977.4,2.0700
978.6,11.4000
979.7,16.9800
980.9,19.8800
982.0,23.8500
983.1,28.3500
984.3,32.8600
985.4,32.5400
986.6,34.3700
987.7,35.1200
988.8,14.9800
990.0,11.4500
991.1,13.8100
992.3,18.8600
993.4,7.8300
994.5,3.7600
995.7,7.2000
996.8,0.0000
998.0,5.3600
999.1,0.0000
1000.2,4.3800
1001.4,30.1000
1002.5,92.8000
1003.6,203.7200
1004.8,274.4600
1005.9,254.1100
1007.0,158.2000
1008.2,83.7300
1009.3,47.8400
1010.5,23.7400
1011.6,0.0000
1012.7,1.7100
1013.9,1.2000
1015.0,3.9600
1016.1,10.4800
1017.3,6.2700
1018.4,2.0700
1019.5,7.6200
1020.7,4.5900
1021.8,18.4100
1022.9,27.4100
1024.1,14.9700
1025.2,31.4700
1026.3,55.4700
1027.5,46.2500
1028.6,54.7100
1029.7,83.0100
1030.8,127.3900
1032.0,134.7900
1033.1,140.5800
1034.2,133.5000
1035.4,124.8100
1036.5,130.6100
1037.6,127.8200
1038.7,122.8900
1039.9,138.3300
1041.0,148.9500
1042.1,155.8200
1043.2,177.7100
1044.4,212.4700
1045.5,209.1600
1046.6,236.4200
1047.8,273.8700
1048.9,312.4100
1050.0,339.1500
1051.1,381.4500
1052.2,445.2200
1053.4,482.7100
1054.5,558.8400
1055.6,645.7200
1056.8,693.9600
1057.9,819.5200
1059.0,967.6400
1060.1,1106.1200
1061.2,1245.1600
1062.4,1428.7900
1063.5,1594.7400
1064.6,1783.8100
1065.7,2036.2900
1066.8,2213.0800
1068.0,2331.3500
1069.1,2394.8400
1070.2,2389.5800
1071.3,2215.0700
1072.4,2029.2400
1073.6,1796.6200
1074.7,1546.2200
1075.8,1359.7400
1076.9,1143.1200
1078.0,972.7000
1079.2,859.2400
1080.3,714.5700
1081.4,608.5900
1082.5,547.2300
1083.6,476.7200
1084.7,434.7100
1085.8,396.9900
1087.0,351.7300
1088.1,346.2900
1089.2,299.4000
1090.3,266.5000
1091.4,261.5800
1092.5,258.8200
1093.6,247.9800
1094.8,230.1400
1095.9,227.9100
1097.0,220.8400
1098.1,195.4400
1099.2,194.2900
1100.3,174.8200
1101.4,170.9700
1102.5,148.2500
1103.6,136.8500
1104.8,131.3700
1105.9,112.9600
1107.0,109.1000
1108.1,94.4500
1109.2,94.3600
1110.3,89.9600
1111.4,78.5400
1112.5,63.8800
1113.6,59.4800
1114.7,61.5500
1115.8,37.1600
1116.9,32.2000
1118.0,41.8300
1119.2,39.5800
1120.3,25.9800
1121.4,33.4500
1122.5,12.8200
1123.6,14.8900
1124.7,16.9600
1125.8,4.4200
1126.9,16.4500
1128.0,12.2500
1129.1,3.7200
1130.2,1.3300
1131.3,7.6700
1132.4,8.5900
1133.5,0.8500
1134.6,0.0000
1135.7,0.0000
1136.8,7.4500
1137.9,0.0000
1139.0,4.2300
1140.1,6.3400
1141.2,0.0000
1142.3,0.0000
1143.4,0.0000
1144.5,2.1600
1145.6,7.3000
1146.7,9.7300
1147.8,0.0000
1148.9,0.0000
1150.0,0.0000
1151.1,1.5500
1152.2,0.3100
1153.3,0.0000
1154.4,0.0000
1155.5,1.9000
1156.6,0.0000
1157.7,1.4100
1158.8,0.0000
1159.9,3.3000
1161.0,4.3600
1162.1,0.0000
1163.2,11.8100
1164.2,1.3000
1165.3,0.0000
1166.4,2.5600
1167.5,2.4100
1168.6,6.1900
1169.7,12.1600
1170.8,2.8700
1171.9,6.8000
1173.0,18.1800
1174.1,19.7400
1175.2,25.1200
1176.2,32.6900
1177.3,22.2400
1178.4,32.5400
1179.5,48.8600
1180.6,43.3300
1181.7,60.2100
1182.8,67.2600
1183.9,82.5100
1185.0,78.0800
1186.0,79.1300
1187.1,86.7400
1188.2,97.6400
1189.3,109.6400
1190.4,116.1700
1191.5,145.1700
1192.6,136.9200
1193.7,169.2300
1194.7,164.2700
1195.8,201.5400
1196.9,186.7200
1198.0,232.8000
1199.1,235.5500
1200.2,265.7500
1201.2,282.2400
1202.3,305.3300
1203.4,344.3700
1204.5,371.3400
1205.6,403.2700
1206.7,459.4300
1207.7,499.1100
1208.8,572.3800
1209.9,629.7400
1211.0,692.0800
1212.1,792.4600
1213.1,894.0100
1214.2,1012.7000
1215.3,1131.4600
1216.4,1273.4500
1217.5,1448.6200
1218.5,1629.9600
1219.6,1791.5500
1220.7,2038.2500
1221.8,2163.6300
1222.8,2348.7400
1223.9,2372.6300
1225.0,2415.8800
1226.1,2344.7100
1227.1,2187.2400
1228.2,1988.7300
1229.3,1818.3200
1230.4,1636.1900
1231.4,1406.8800
1232.5,1242.7800
1233.6,1073.6000
1234.7,945.3300
1235.7,828.0600
1236.8,742.3400
1237.9,621.0500
1239.0,539.1000
1240.0,501.5000
1241.1,438.3400
1242.2,386.2400
1243.2,350.2300
1244.3,323.6500
1245.4,290.9300
1246.5,267.6500
1247.5,231.0100
1248.6,195.4500
1249.7,200.5200
1250.7,183.8600
1251.8,171.6600
1252.9,156.1100
1253.9,136.0800
1255.0,116.0400
1256.1,102.1300
1257.1,80.9500
1258.2,88.2400
1259.3,83.8100
1260.3,75.4600
1261.4,76.0500
1262.5,68.2500
1263.5,48.7000
1264.6,61.6000
1265.7,55.4700
1266.7,37.0200
1267.8,29.2000
1268.8,30.9100
1269.9,47.1900
1271.0,38.2500
1272.0,36.0400
1273.1,17.5500
1274.2,14.7700
1275.2,5.2500
1276.3,15.0900
1277.3,7.5200
1278.4,6.1300
1279.5,0.0000
1280.5,17.4100
1281.6,0.2500
1282.6,1.6900
1283.7,0.0000
1284.8,3.7500
1285.8,8.8000
1286.9,0.0000
1287.9,0.0000
1289.0,0.0000
1290.0,0.0000
1291.1,0.0000
1292.2,0.0000
1293.2,0.0000
1294.3,0.5800
1295.3,0.0000
1296.4,0.0000
1297.4,0.0000
1298.5,0.0000
1299.5,0.0000
1300.6,5.2000
1301.7,0.0000
1302.7,1.9000
1303.8,0.0000
1304.8,0.0000
1305.9,7.8600
1306.9,0.0000
1308.0,3.3100
1309.0,0.6200
1310.1,5.9300
1311.1,0.0000
1312.2,0.3900
1313.2,8.9200
1314.3,0.0000
1315.3,6.9100
1316.4,0.0000
1317.4,0.0000
1318.5,11.1900
1319.5,7.5200
1320.6,15.2900
1321.6,15.6400
1322.7,0.0000
1323.7,7.1600
1324.7,0.0000
1325.8,27.4500
1326.8,20.1300
1327.9,17.9700
1328.9,0.0000
1330.0,14.8000
1331.0,20.8600
1332.1,23.3900
1333.1,33.4400
1334.2,42.3600
1335.2,59.3400
1336.2,37.7700
1337.3,80.9800
1338.3,95.9900
1339.4,90.2700
1340.4,127.2200
1341.4,128.4400
1342.5,144.0900
1343.5,199.0300
1344.6,234.9600
1345.6,249.5300
1346.7,260.6500
1347.7,330.2200
1348.7,365.1300
1349.8,438.3100
1350.8,463.4600
1351.8,564.0000
1352.9,619.4000
1353.9,696.9100
1355.0,758.8200
1356.0,831.2600
1357.0,942.7000
1358.1,961.8100
1359.1,937.8900
1360.1,936.6500
1361.2,884.7600
1362.2,836.3000
1363.2,790.7200
1364.3,762.5900
1365.3,716.3500
1366.3,677.6500
1367.4,668.1200
1368.4,642.8100
1369.4,611.6300
1370.5,635.9900
1371.5,598.3300
1372.5,608.0800
1373.6,595.5700
1374.6,631.7100
1375.6,615.1000
1376.7,614.9100
1377.7,631.1600
1378.7,667.9900
1379.8,661.9600
1380.8,692.3800
1381.8,694.6000
1382.8,705.0600
1383.9,744.4000
1384.9,741.9400
1385.9,790.7800
1387.0,814.3000
1388.0,791.2300
1389.0,849.6300
1390.0,850.7800
1391.0,915.7900
1392.1,919.3500
1393.1,969.0800
1394.1,1035.4500
1395.2,1005.3300
1396.2,1072.3900
1397.2,1109.8700
1398.2,1168.1700
1399.2,1183.1900
1400.3,1285.5600
1401.3,1297.1000
1402.3,1352.6700
1403.3,1449.3700
1404.4,1565.2300
1405.4,1598.4200
1406.4,1673.9700
1407.4,1769.8900
1408.4,1869.5000
1409.5,1941.1600
1410.5,2148.5300
1411.5,2224.6200
1412.5,2383.3500
1413.5,2564.4100
1414.6,2670.8300
1415.6,2827.1000
1416.6,3016.5300
1417.6,3201.3900
1418.6,3369.6600
1419.7,3508.7100
1420.7,3662.9500
1421.7,3858.8600
1422.7,3882.9500
1423.7,3996.1600
1424.7,4114.9400
1425.7,4168.1700
1426.8,4223.2800
1427.8,4259.1600
1428.8,4252.2200
1429.8,4302.0600
1430.8,4280.6500
1431.8,4329.3700
1432.8,4311.6000
1433.8,4260.5000
1434.9,4322.6500
1435.9,4270.3100
1436.9,4185.7500
1437.9,4064.6900
1438.9,3985.9900
1439.9,3920.5800
1440.9,3863.6100
1441.9,3722.6000
1443.0,3535.1700
1444.0,3463.8600
1445.0,3332.7300
1446.0,3099.5900
1447.0,2971.7500
1448.0,2808.9500
1449.0,2644.7300
1450.0,2518.8300
1451.0,2445.4000
1452.0,2327.1900
1453.0,2167.7900
1454.0,1981.2300
1455.0,1945.3200
1456.0,1849.8400
1457.0,1772.0600
1458.0,1640.1000
1459.0,1564.5500
1460.1,1522.7500
1461.1,1424.8700
1462.1,1361.9900
1463.1,1300.2700
1464.1,1211.9400
1465.1,1145.1100
1466.1,1112.1700
1467.1,1048.2800
1468.1,1002.2600
1469.1,946.8900
1470.1,886.5000
1471.1,831.0000
1472.1,787.2000
1473.1,742.7300
1474.1,707.5200
1475.1,645.5600
1476.1,593.4600
1477.1,560.5800
1478.1,546.3300
1479.1,509.0300
1480.1,495.3600
1481.1,451.7400
1482.1,403.0600
